"","Brand","Model_No","Country","C.Power_Inp_Rated","sri2010_cool","Star2010_Cool","C.Dehumid_Rated","Configuration1","Configuration2","Type"
"11895","KELVINATOR","KWH15CME","China",0.485,2.0882,2,0.18,"Non Ducted","Window Wall","Cooling Only"
"11897","KELVINATOR","KWH62CRE","China",1.81,2.0504,2,1.688,"Non Ducted","Window Wall","Cooling Only"
"11911","Toshiba","RAV-SM806KRT-A + RAV-SP804ATP-A","Thailand",1.91,1.8895,1.5,2,"Non Ducted","Single Split System","Reverse Cycle"
"11912","GREE","GJC12AD-K6RNC2A","China",1.18,2.1003,2,0.85,"Non Ducted","Window Wall","Cooling Only"
"11913","KELVINATOR","KWH39CRE","China",1.18,2.1003,2,0.9,"Non Ducted","Window Wall","Cooling Only"
"11914","HITACHI","RAS/C-35YHA3","China",0.96,2.7138,2.5,0.6,"Non Ducted","Single Split System","Reverse Cycle"
"11916","KELVINATOR","KWH20CRE","China",0.66,2.0387,2,0.27,"Non Ducted","Window Wall","Cooling Only"
"11917","HITACHI","RAS-50YHA3/RAC-50YHA3","Malaysia",1.48,2.1843085367,2,1.14,"Non Ducted","Single Split System","Reverse Cycle"
"11918","HITACHI","RAS-70YHA2/RAC-70YHA2","Malaysia",2.05,2,2,2.1,"Non Ducted","Single Split System","Reverse Cycle"
"11919","GREE","GWH28TD-K6DN***/I, GWH28TD-K6DNA3A/O","China",2.39,2.319,2,1.04,"Non Ducted","Single Split System","Reverse Cycle"
"11925","HITACHI","RAF/C-35NXA1","China",0.94,2.97050546596,2.5,0.35,"Non Ducted","Single Split System","Reverse Cycle"
"11926","HITACHI","RAS-80YHA3/RAC-80YHA3","Malaysia",2.45,2.19620142118,2,1.85,"Non Ducted","Single Split System","Reverse Cycle"
"11927","KELVINATOR","KWH39HRE","China",1.18,2.0593,2,0.88,"Non Ducted","Window Wall","Reverse Cycle"
"11929","DAIKIN","FVXS35K / RXS35K","Thailand",1.03,2.085,2,0.96,"Non Ducted","Single Split System","Reverse Cycle"
"11930","KELVINATOR","KWH20HRE","China",0.66,2.0765,2,0.28,"Non Ducted","Window Wall","Reverse Cycle"
"11931","AGER","AWM-25VA","China",0.73,2.264,2,0.227,"Non Ducted","Single Split System","Reverse Cycle"
"11932","AGER","AWM-80B","China",2.64,1.5502,1.5,2.023,"Non Ducted","Single Split System","Reverse Cycle"
"11933","AGER","AWM-64B","China",2.04,1.5658,1.5,1.723,"Non Ducted","Single Split System","Reverse Cycle"
"11934","PEREIRA","CS-25H3A-M84AH5-INV","China",0.675,3.0597,3,0.5,"Non Ducted","Single Split System","Reverse Cycle"
"11935","PEREIRA","CSS-61H3A-W84AE2B","China",1.98,1.48,1,1.4,"Non Ducted","Single Split System","Reverse Cycle"
"11936","PEREIRA","CS-51H3A-P84AH5B","China",1.65,1.36,1,1.4,"Non Ducted","Single Split System","Reverse Cycle"
"11937","PEREIRA","CS-25H3A-M84AH5","China",0.77,2.58,2.5,0.6,"Non Ducted","Single Split System","Reverse Cycle"
"11941","SolAir World","SWW(R)-6.0GW","China",1.86,1.95337289821,1.5,0.78,"Non Ducted","Single Split System","Reverse Cycle"
"11944","KELVINATOR","KWH53CRE","China",1.6,2.1716,2,1.2,"Non Ducted","Window Wall","Cooling Only"
"11945","DAIKIN","FVXS25K / RXS25K","Thailand",0.59,3.7722,3.5,0.41,"Non Ducted","Single Split System","Reverse Cycle"
"11946","DAIKIN","FTXR42K / RXR42K","Thailand,Japan",1.07,2.9782,2.5,0.92,"Non Ducted","Single Split System","Reverse Cycle"
"11950","DAIKIN","FTXR28K / RXR28K","Thailand,Japan",0.57,4.369,4,0.16,"Non Ducted","Single Split System","Reverse Cycle"
"11958","DAIKIN","FDYQ200L / RZYQ8P","Australia,Japan",6.081,2.01428977447,2,3.6,"Ducted","Single Split System","Reverse Cycle"
"11962","DAIKIN","FCQN71K / RQ71L","Japan,Thailand",2.4,2.4391836611,2,1.5,"Non Ducted","Single Split System","Reverse Cycle"
"11964","DAIKIN","FDYQN71L / RQ71L","Australia,Thailand",2.25,1.97941898278,1.5,0.7,"Ducted","Single Split System","Reverse Cycle"
"11965","DAIKIN","FVXS35L / RXS35LA","Japan,Thailand",0.92,3.05822192829,3,0.99,"Non Ducted","Single Split System","Reverse Cycle"
"11966","DAIKIN","FTKS25L / RKS25L","Thailand,Thailand",0.54,4.71704869532,4.5,0.17,"Non Ducted","Single Split System","Cooling Only"
"11967","DAIKIN","FTKS20L / RKS20L","Thailand,Thailand",0.45,4.45154231759,4,0,"Non Ducted","Single Split System","Cooling Only"
"11968","DAIKIN","FTXS95L / RXS95L","Thailand,Thailand",2.88,2.03150589078,2,2.6,"Non Ducted","Single Split System","Reverse Cycle"
"11969","DAIKIN","FTXS85L / RXS85L","Thailand,Thailand",2.58,2.0813081568,2,1.88,"Non Ducted","Single Split System","Reverse Cycle"
"11970","DAIKIN","FTN25H / RN25H","Thailand,Japan",0.79,2.194,2,0.373,"Non Ducted","Single Split System","Cooling Only"
"11977","DAIKIN","FDYQN200KA / RQ200K","Australia,Thailand",6.47,1.57760493745,1.5,3.6,"Ducted","Single Split System","Reverse Cycle"
"11978","DAIKIN","FDYQ100L / RZQ100K","Thailand,Australia",3.15,1.9648321993,1.5,1,"Ducted","Single Split System","Reverse Cycle"
"11980","DAIKIN","FDYQ71L / RZQ71K","Australia,Thailand",2.23,1.97941898278,1.5,0.7,"Ducted","Single Split System","Reverse Cycle"
"11982","DAIKIN","FDYQ100L / RZQ100KC","Australia,Thailand",3.15,1.9648321993,1.5,1,"Ducted","Single Split System","Reverse Cycle"
"11983","DAIKIN","FTXS71L / RXS71L","Thailand,Thailand",2.08,2.32209017558,2,1.58,"Non Ducted","Single Split System","Reverse Cycle"
"11984","DAIKIN","FTXS35L / RXS35L","Thailand,Thailand",0.91,3.25122589224,3,0.69,"Non Ducted","Single Split System","Reverse Cycle"
"11985","DAIKIN","FTXS25L / RXS25L","Thailand,Thailand",0.54,4.60917423977,4.5,0.18,"Non Ducted","Single Split System","Reverse Cycle"
"11986","DAIKIN","FTXS20L / RXS20L","Thailand,Thailand",0.45,4.46679393729,4,0,"Non Ducted","Single Split System","Reverse Cycle"
"11992","DAIKIN","FTYN25K / RYN25K","Thailand",0.63,3.435,3,0.3,"Non Ducted","Single Split System","Reverse Cycle"
"11996","DAIKIN","FVXS50L / RXS50LA","Japan,Thailand",1.3,3.0935377506,3,1.13,"Non Ducted","Single Split System","Reverse Cycle"
"11997","DAIKIN","FVXS25K / RXS25K, RXS25LA","Japan,Thailand",0.59,3.76285276671,3.5,0.41,"Non Ducted","Single Split System","Reverse Cycle"
"12000","DAIKIN","FVXS60K / RXS60HA","Thailand",1.98,1.545,1.5,1.71,"Non Ducted","Single Split System","Reverse Cycle"
"12011","DAIKIN","FTXS80K / RXS80KA","Thailand,Japan",2.51,1.9702,1.5,1.74,"Non Ducted","Single Split System","Reverse Cycle"
"12012","DAIKIN","FTKS50KA / RKS50KA","Thailand,Japan",1.52,2.014,2,1.11,"Non Ducted","Single Split System","Cooling Only"
"12013","DAIKIN","FTXS50KA / RXS50KA","Thailand,Japan",1.52,2.014,2,1.11,"Non Ducted","Single Split System","Reverse Cycle"
"12014","DAIKIN","FTKS71KA / RKS71KA","Thailand,Japan",2.06,1.8912,1.5,1.95,"Non Ducted","Single Split System","Cooling Only"
"12015","DAIKIN","FTXS71KA / RXS71KA","Thailand,Japan",2.06,1.8912,1.5,1.95,"Non Ducted","Single Split System","Reverse Cycle"
"12016","DAIKIN","FTXS80KA / RXS80KA","Thailand,Japan",2.51,1.9702,1.5,1.74,"Non Ducted","Single Split System","Reverse Cycle"
"12017","DAIKIN","FTXS90KA / RXS90KA","Thailand,Japan",2.54,1.8774,1.5,1.86,"Non Ducted","Single Split System","Reverse Cycle"
"12018","DAIKIN","FTXS100KA / RXS100KA","Thailand,Japan",2.78,1.8702,1.5,2.52,"Non Ducted","Single Split System","Reverse Cycle"
"12019","DAIKIN","FTYN35KA / RYN35KA","Thailand",0.99,2.6808,2.5,0.78,"Non Ducted","Single Split System","Reverse Cycle"
"12023","DAIKIN","FTN35H / RN35H","Thailand,Japan",1.06,2.3072,2,0.88,"Non Ducted","Single Split System","Cooling Only"
"12026","Levante","Oasis09","China",0.66,3.2315,3,0.13,"Non Ducted","Single Split System","Reverse Cycle"
"12027","Levante","Oasis28","China",2.35,2.223,2,1.71,"Non Ducted","Single Split System","Reverse Cycle"
"12028","Levante","Oasis12","China",0.84,3.0833,3,0.38,"Non Ducted","Single Split System","Reverse Cycle"
"12029","Levante","Oasis24","China",2.08,2.349,2,1.35,"Non Ducted","Single Split System","Reverse Cycle"
"12030","GREE","GJC07AF-K6RNC2A","China",0.66,2.0387,2,0.25,"Non Ducted","Window Wall","Cooling Only"
"12032","GREE","GWH12TB-K3DNA1B/I / GWH12TB-K3DNA1B/O","China",0.9,3.0535,3,0.8,"Non Ducted","Single Split System","Reverse Cycle"
"12034","Toshiba","RAS-13N3KVP-A / RAS-13N3AVP-A","Thailand",0.84,3.3992,3,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"12035","Toshiba","RAS-10N3KVP-A + RAS-10N3AVP-A","Thailand",0.49,4.8213,4.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"12038","PROMA","PRO-50IT","China",1.48,2.08796276156,2,0.156,"Non Ducted","Single Split System","Reverse Cycle"
"12039","Levante","Oasis18","China",1.5,2.7124,2.5,0.83,"Non Ducted","Single Split System","Reverse Cycle"
"12042","Toshiba","RAS-16N3KVP-A / RAS-16N3AVP-A","Thailand",1.34,2.214,2,1.7,"Non Ducted","Single Split System","Reverse Cycle"
"12043","GREE","GJC09AF-K6RNC2A","China",0.81,2.0748,2,0.6,"Non Ducted","Window Wall","Cooling Only"
"12046","LAKES","LA35","China",0.91,3.23474350289,3,0.3,"Non Ducted","Single Split System","Reverse Cycle"
"12047","LAKES","LA25","China",0.675,3.09837182496,3,0.5,"Non Ducted","Single Split System","Reverse Cycle"
"12048","KELVINATOR","KWH62HRE","China",1.81,2.0535,2,1.6,"Non Ducted","Window Wall","Reverse Cycle"
"12049","LAKES","LA51","China",1.504,2.0275027891,2,1.2,"Non Ducted","Single Split System","Reverse Cycle"
"12050","CHIGO","CS-51V3A-PE2N","China",1.504,2.0275027891,2,1.2,"Non Ducted","Single Split System","Reverse Cycle"
"12051","CHIGO","CS-35V3A-PH5N","China",0.91,3.23474350289,3,0.3,"Non Ducted","Single Split System","Reverse Cycle"
"12052","CHIGO","CS-25V3A-MH5M","China",0.675,3.09837182496,3,0.5,"Non Ducted","Single Split System","Reverse Cycle"
"12053","LAKES","LA80","China",2.27,2.05700301392,2,2.25,"Non Ducted","Single Split System","Reverse Cycle"
"12054","MIDEA","MSE28M4","China",2.25,2.2039,2,0.81,"Non Ducted","Single Split System","Reverse Cycle"
"12055","MIDEA","MSE18M4","China",1.57,2.11833400377,2,0.98,"Non Ducted","Single Split System","Reverse Cycle"
"12056","MIDEA","MSE16M4","China",1.26,2.42922132018,2,0.89,"Non Ducted","Single Split System","Reverse Cycle"
"12057","MIDEA","MSE12M4","China",0.92,3.3644100173,3,0.46,"Non Ducted","Single Split System","Reverse Cycle"
"12058","MDV","MWF-12HRN1-M4","China",1.05,2.06500297971,2,1.39,"Non Ducted","Window Wall","Reverse Cycle"
"12059","MDV","MWF1-09HRN1-M4","China",0.79,2.0284734452,2,0.48,"Non Ducted","Window Wall","Reverse Cycle"
"12060","TECO","TWS81HVBMHBC/TSO81HVBMHBC","China",2.62,1.82933750067,1.5,2.11,"Non Ducted","Single Split System","Reverse Cycle"
"12061","TECO","TWS72HVBMJBB/TSO72HVBMJBB","China",2.18,2.22126727961,2,2.05,"Non Ducted","Single Split System","Reverse Cycle"
"12062","TECO","TWS72HFBMJBB/TSO72HFBMJBB","China",2.15,2.20387123522,2,0.77,"Non Ducted","Single Split System","Reverse Cycle"
"12063","TECO","TWS63HFBMJBB/TSO63HFBMJBB","China",1.89,2.14530788025,2,1.62,"Non Ducted","Single Split System","Reverse Cycle"
"12064","TECO","TWS61HVBMHBC/TSO61HVBMHBC","China",1.98,1.74269704021,1.5,1.4,"Non Ducted","Single Split System","Reverse Cycle"
"12065","TECO","TWS51HFBMJBB/TSO51HFBMJBB","China",1.52,2.11833400377,2,0.93,"Non Ducted","Single Split System","Reverse Cycle"
"12066","TECO","TWS50HVBMHBC/TSO50HVBMHBC","China",1.6,1.98881834125,1.5,1.3,"Non Ducted","Single Split System","Reverse Cycle"
"12067","TECO","TWS41HVBMHBC/TSO41HVBMHBC","China",1.3,2.08950787619,2,0.89,"Non Ducted","Single Split System","Reverse Cycle"
"12068","TECO","TWS36HFBMJBB/TSO36HFBMJBB","China",0.92,3.3644100173,3,0.48,"Non Ducted","Single Split System","Reverse Cycle"
"12069","TECO","TWS27HFBMJBB/TSO27HFBMJBB","China",0.71,3.023686465,3,0.46,"Non Ducted","Single Split System","Reverse Cycle"
"12070","TECO","TWS25HVBMJBB/TSO25HVBMJBB","China",0.66,3.24891639901,3,0.4,"Non Ducted","Single Split System","Reverse Cycle"
"12071","MIDEA","MS9V-18HRDN1-QC6G(B)","China",1.47,2.5793267563,2.5,0.46,"Non Ducted","Single Split System","Reverse Cycle"
"12072","MDV","MSC-24HRDN1-M4","China",1.95,1.69513993364,1.5,1.45,"Non Ducted","Single Split System","Reverse Cycle"
"12073","MDV","MSC-18HRN1-M4","China",1.57,2.11833400377,2,0.98,"Non Ducted","Single Split System","Reverse Cycle"
"12074","MDV","MSC-09HRN1-M4","China",0.71,3.023686465,3,0.47,"Non Ducted","Single Split System","Reverse Cycle"
"12075","MIDEA","MWF-18HB4","China",1.73,2.06077138029,1.5,1.22,"Non Ducted","Window Wall","Reverse Cycle"
"12076","MDV","MSC-24HRN1-QC6GPW","China",1.92,2.14530788025,2,1.68,"Non Ducted","Single Split System","Reverse Cycle"
"12077","MDV","MSC-18HRN1-QC6G","China",1.57,2.11833400377,2,0.98,"Non Ducted","Single Split System","Reverse Cycle"
"12078","MDV","MSC-12HRN1-QD0G","China",0.92,3.3644100173,3,0.46,"Non Ducted","Single Split System","Reverse Cycle"
"12079","MDV","MSC-09HRN1-QD0G","China",0.71,3.023686465,3,0.47,"Non Ducted","Single Split System","Reverse Cycle"
"12080","YORK","YCAFZH009BAMAAFX","China",0.78,2.0284734452,2,0.48,"Non Ducted","Window Wall","Reverse Cycle"
"12081","QFLOW","QFMD26FSCH","China",0.71,3.023686465,3,0.47,"Non Ducted","Single Split System","Reverse Cycle"
"12082","YORK","YNHJZH028BAMAAFX","China",2.15,2.22443667729,2,2.05,"Non Ducted","Single Split System","Reverse Cycle"
"12083","YORK","YNHJZH024BAMAAFX","China",1.87,2.29866935135,2,2.05,"Non Ducted","Single Split System","Reverse Cycle"
"12084","YORK","YNHJZH018BAMAAFX","China",1.45,2.29800547652,2,0.71,"Non Ducted","Single Split System","Reverse Cycle"
"12085","MIDEA","MSE24M4","China",1.92,2.14530788025,2,1.68,"Non Ducted","Single Split System","Reverse Cycle"
"12086","MDV","MSC-12HRN1-M4","China",0.92,3.3644100173,3,0.46,"Non Ducted","Single Split System","Reverse Cycle"
"12087","PLATINUM","H-3SP-15/ H-INV-15","China",4.48,2.01220282281,2,2.69,"Ducted","Single Split System","Reverse Cycle"
"12090","MIDEA","MS11M-28HRDN1-QC6GW","China",2.35,2.22297563151,2,1.74,"Non Ducted","Single Split System","Reverse Cycle"
"12091","MIDEA","MS9A-12HRDN1-QD0G(C)","China",0.93,3.26365071929,3,0.35,"Non Ducted","Single Split System","Reverse Cycle"
"12092","MDV","MSC-24HRDN1-QC2GP","China",1.95,1.69513993364,1.5,1.45,"Non Ducted","Single Split System","Reverse Cycle"
"12093","MDV","MSC-18HRDN1-QC2GP","China",1.52,1.82166181657,1.5,1.17,"Non Ducted","Single Split System","Reverse Cycle"
"12094","MDV","MSC-12HRDN1-QC8GP","China",0.89,2.49360726468,2,0.65,"Non Ducted","Single Split System","Reverse Cycle"
"12095","MDV","MSC-09HRDN1-QC8GP","China",0.69,2.63759249978,2.5,0.25,"Non Ducted","Single Split System","Reverse Cycle"
"12096","LENNOX","LNFS3510","China",0.92,3.3644100173,3,0.46,"Non Ducted","Single Split System","Reverse Cycle"
"12097","MIDEA","MSCP24M4","China",1.95,1.69513993364,1.5,1.45,"Non Ducted","Single Split System","Reverse Cycle"
"12098","MIDEA","MSCP21M4","China",1.81,1.63265096794,1.5,0.86,"Non Ducted","Single Split System","Reverse Cycle"
"12099","MIDEA","MSCP18M4","China",1.52,1.82166181657,1.5,1.17,"Non Ducted","Single Split System","Reverse Cycle"
"12100","MIDEA","MSCP12M4","China",0.89,2.49360726468,2,0.65,"Non Ducted","Single Split System","Reverse Cycle"
"12101","LENNOX","LNWR35X","China",1.05,2.065,2,1.39,"Non Ducted","Window Wall","Reverse Cycle"
"12102","YONAN","YC-24HRDN1","China",1.92,2.29866935135,2,2.11,"Non Ducted","Single Split System","Reverse Cycle"
"12103","YONAN","YC-12HRDN1","China",0.93,3.03864388914,3,0.48,"Non Ducted","Single Split System","Reverse Cycle"
"12104","LIVEZI","H-3SP-15/ H-INV-15","China",4.48,2.01220282281,2,2.69,"Ducted","Single Split System","Reverse Cycle"
"12105","LIVEZI","H-3SP-11/ H-INV-11","China",3.18,1.83273827831,1.5,1.89,"Ducted","Single Split System","Reverse Cycle"
"12106","YORK","YNHFZH026BAMAAFX","China",2.15,2.20387123522,2,0.77,"Non Ducted","Single Split System","Reverse Cycle"
"12107","YORK","YNHFZH018BAMAAFX","China",1.52,2.11833400377,2,0.93,"Non Ducted","Single Split System","Reverse Cycle"
"12108","YORK","YNHFZH012BAMAAFX","China",0.92,3.3644100173,3,0.48,"Non Ducted","Single Split System","Reverse Cycle"
"12109","YORK","YNHFZH009BAMAAFX","China",0.7,3.023686465,3,0.46,"Non Ducted","Single Split System","Reverse Cycle"
"12110","YORK","YMGJZH050BAMABGX","China",4.41,2.01220282281,2,2.19,"Ducted","Single Split System","Reverse Cycle"
"12111","YORK","YCAFZH012BAMAAFX","China",1.04,2.06500297971,2,1.35,"Non Ducted","Window Wall","Reverse Cycle"
"12112","LENNOX","LNIV6510","China",1.93,2.27438496276,2,1.54,"Non Ducted","Single Split System","Reverse Cycle"
"12113","MIDEA","MWF-09CB4","China",0.79,2.1967697477,2,0.49,"Non Ducted","Window Wall","Cooling Only"
"12114","MIDEA","MWF-07CB4","China",0.64,2.08530134589,2,0.6,"Non Ducted","Window Wall","Cooling Only"
"12115","MIDEA","MS9A-24HRDN1-QC6GW","China",1.93,2.27438496276,2,1.54,"Non Ducted","Single Split System","Reverse Cycle"
"12116","MIDEA","MS9A-18HRDN1-QC6G","China",1.45,2.33069731473,2,0.56,"Non Ducted","Single Split System","Reverse Cycle"
"12117","TECO","TWS72HFAMJBB/TSO72HFAMJBB","China",2.15,2.20387123522,2,0.77,"Non Ducted","Single Split System","Reverse Cycle"
"12118","TECO","TWS63HFAMJBB/TSO63HFAMJBB","China",1.89,2.14530788025,2,1.62,"Non Ducted","Single Split System","Reverse Cycle"
"12119","TECO","TWS49HVAMJBB/TSO49HVAMJBB","China",1.45,2.29800547652,2,0.71,"Non Ducted","Single Split System","Reverse Cycle"
"12120","TECO","TWS34HVAMJBB/TSO34HVAMJBB","China",0.9,3.03864388914,3,0.46,"Non Ducted","Single Split System","Reverse Cycle"
"12121","TECO","TWS25HVAMJBB/TSO25HVAMJBB","China",0.64,3.26118657143,3,0.4,"Non Ducted","Single Split System","Reverse Cycle"
"12122","Westinghouse","WIWPK-24ENW1/WCHPK-24ECR1","China",1.92,2.29866935135,2,2.11,"Non Ducted","Single Split System","Reverse Cycle"
"12123","Westinghouse","WIWPK-12ENW1/ WCHPK-12ECR1","China",0.93,3.03864388914,3,0.48,"Non Ducted","Single Split System","Reverse Cycle"
"12124","MIDEA","MSK-12CRN1-QD0G","China",0.92,3.36226934669,3,0.46,"Non Ducted","Single Split System","Cooling Only"
"12126","MIDEA","MSKF12M4","China",0.92,3.36226934669,3,0.46,"Non Ducted","Single Split System","Reverse Cycle"
"12127","Westinghouse","WIWPK-28ENW1/WCHPK-28ECR1","China",2.23,2.22443667729,2,2.16,"Non Ducted","Single Split System","Reverse Cycle"
"12128","MIDEA","MSC-24HRN1-QC6GPW","China",1.92,2.1454,2,1.68,"Non Ducted","Single Split System","Reverse Cycle"
"12132","LENNOX","LNWR59X","China",1.83,2.04369928688,2,1.4,"Non Ducted","Window Wall","Reverse Cycle"
"12133","LENNOX","LNFS6510","China",1.92,2.14530788025,2,1.68,"Non Ducted","Single Split System","Reverse Cycle"
"12134","LENNOX","LNFS5110","China",1.57,2.1184,2,0.98,"Non Ducted","Single Split System","Reverse Cycle"
"12135","MITSUBISHI ELECTRIC","MSZ-EF35VE (W) (B) (S) / MUZ-EF35VE","Thailand",0.91,3.2811,3,0.68,"Non Ducted","Single Split System","Reverse Cycle"
"12136","AUX","ASW-H22B4/SQCR1-AU","China",2.14,1.4846,1,1.15,"Non Ducted","Single Split System","Reverse Cycle"
"12138","KELVINATOR","KWH26CRE","China",0.81,2.0748,2,0.63,"Non Ducted","Window Wall","Cooling Only"
"12140","LENNOX","LNINVE052/LNINVC052","China",1.59,1.6962,1.5,1.383,"Non Ducted","Single Split System","Reverse Cycle"
"12152","Panasonic","CS-RE12MKR/CU-RE12MKR","China",0.94,3.0678,2.5,0.396,"Non Ducted","Single Split System","Reverse Cycle"
"12156","Domain","IWR-50D-IND/IWR-50D-OUT","China",1.52,1.8217,1.5,1.17,"Non Ducted","Single Split System","Reverse Cycle"
"12157","Domain","IWR-35D-IND/IWR-35D-OUT","China",0.89,2.4936,2,0.65,"Non Ducted","Single Split System","Reverse Cycle"
"12161","GREE","GWH18TC-K6DN***/I, GWH18TC-K6DNA3A/O","China",1.46,2.7692,2.5,1.05,"Non Ducted","Single Split System","Reverse Cycle"
"12162","GREE","GWH24TD-K6DN***/I, GWH24TD-K6DNA3A/O","China",2,2.3425,2,1.36,"Non Ducted","Single Split System","Reverse Cycle"
"12165","MITSUBISHI ELECTRIC","MSZ-GE80VA2","Thailand",2.46,1.788,1.5,1.87,"Non Ducted","Single Split System","Reverse Cycle"
"12166","MITSUBISHI ELECTRIC","MSZ-GE35VA2","Thailand",0.92,3.0036,3,0.63,"Non Ducted","Single Split System","Reverse Cycle"
"12167","MITSUBISHI ELECTRIC","MSZ-GE50VA2/MUZ-GE50VA2","Thailand",1.48,1.99550878134,1.5,1.1,"Non Ducted","Single Split System","Reverse Cycle"
"12168","MITSUBISHI ELECTRIC","MSZ-GE42VA / MUZ-GE42VA","Thailand",1.26,2.183,2,0.97,"Non Ducted","Single Split System","Reverse Cycle"
"12169","MITSUBISHI ELECTRIC","MSZ-GE71VA","Thailand",2.13,2.27,2,1.49,"Non Ducted","Single Split System","Reverse Cycle"
"12171","Koolsola","TKFR-35GW","China",0.95,2.9105882553,2.5,1.6,"Non Ducted","Single Split System","Reverse Cycle"
"12172","Koolsola","TKFR-26GW","China",0.71,2.86738567253,2.5,0.3,"Non Ducted","Single Split System","Reverse Cycle"
"12174","TECO","TWS50HVBMHBC/TSO50HVBMHBC","China",1.6,1.9888,1.5,1.3,"Non Ducted","Single Split System","Reverse Cycle"
"12175","DAIKIN","FFQ60B / RXS60KB","Thailand",1.89,1.7402,1.5,1.5,"Non Ducted","Single Split System","Reverse Cycle"
"12176","KELVINATOR","KSV26CRE","China",0.72,2.8481,2.5,0.65,"Non Ducted","Single Split System","Cooling Only"
"12177","KELVINATOR","KSV26HRE","China",0.72,2.949,2.5,0.65,"Non Ducted","Single Split System","Reverse Cycle"
"12192","DAIKIN","FTKS25K / RKS25K","Thailand,Japan",0.58,4.175,4,0.3,"Non Ducted","Single Split System","Cooling Only"
"12194","Panasonic","CS_CU-E21MKR","Malaysia",1.8,2.1298,2,1.5,"Non Ducted","Single Split System","Reverse Cycle"
"12195","Panasonic","CS_CU-E12MKR","Malaysia",0.83,3.2552,3,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"12196","Panasonic","CS_CU-S18MKR","Malaysia",1.3,2.6752,2.5,1,"Non Ducted","Single Split System","Cooling Only"
"12197","Panasonic","CS_CU-S12MKR","Malaysia",0.86,3.164,3,0.61,"Non Ducted","Single Split System","Cooling Only"
"12198","Panasonic","CS_CU-S9MKR","Malaysia",0.63,3.4454,3,0.24,"Non Ducted","Single Split System","Cooling Only"
"12199","Panasonic","CS_CU-RE18MKR","Malaysia",1.3,2.6486,2.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"12200","Panasonic","CS_CU-E18MKR","Malaysia",1.3,2.7054,2.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"12201","Panasonic","CS_CU-E9MKR","Malaysia",0.55,4.5274,4.5,0.2,"Non Ducted","Single Split System","Reverse Cycle"
"12202","Panasonic","CS_CU-E7MKR","Malaysia",0.46,3.8836,3.5,0.06,"Non Ducted","Single Split System","Reverse Cycle"
"12209","DAIKIN","FVXS71L / RXS71LA","Japan,Thailand",2.13,2.14137332375,2,2.19,"Non Ducted","Single Split System","Reverse Cycle"
"12210","TECO","TWS61HVBMHBC/TSO61HVBMHBC","China",1.98,1.7427,1.5,1.4,"Non Ducted","Single Split System","Reverse Cycle"
"12211","DAIKIN","FVXS60L / RXS60LA","Japan,Thailand",1.7,2.50654332972,2.5,1.47,"Non Ducted","Single Split System","Reverse Cycle"
"12212","GREE","GWH18TC-K3DNA1B/I / GWH18TC-K3DNA1B/O","China",1.52,2.0536,2,1.95,"Non Ducted","Single Split System","Reverse Cycle"
"12213","TEMPERZONE","ISD184Y/OSA184RVT","New Zealand",5.5,1.94367046752,1.5,3.206,"Ducted","Single Split System","Reverse Cycle"
"12223","DAIKIN","FTXS50K / RXS50K","Thailand,Japan",1.43,2.6276,2.5,1.21,"Non Ducted","Single Split System","Reverse Cycle"
"12225","MDV","MSC-18HWRDN1-QC3G","China",1.6,1.9888,1.5,1.3,"Non Ducted","Single Split System","Reverse Cycle"
"12227","KELVINATOR","KSV35CRE","China",0.96,2.6844,2.5,0.87,"Non Ducted","Single Split System","Cooling Only"
"12228","KELVINATOR","KWH26HRE","China",0.81,2.0861,2,0.555,"Non Ducted","Window Wall","Reverse Cycle"
"12230","Panasonic","CS-RE9MKR/CU-RE9MKR","China",0.65,3.531,3,0.025,"Non Ducted","Single Split System","Reverse Cycle"
"12236","ACTRON AIR","SWA18C / SWA18E","China",1.52,2.5459,2.5,0.759,"Non Ducted","Single Split System","Reverse Cycle"
"12237","PROMA","PRO-70T","China",2.1,2.00700323791,2,0.15,"Non Ducted","Single Split System","Reverse Cycle"
"12238","TECO","TWW60HFBGJBB","China",1.82,2.05924711251,2,1.33,"Non Ducted","Window Wall","Reverse Cycle"
"12239","TECO","TWW53HFBGJBB","China",1.62,2.07886631596,2,1.28,"Non Ducted","Window Wall","Reverse Cycle"
"12240","TECO","TWW27HFBGJBB","China",0.83,2.05680915464,2,0.62,"Non Ducted","Window Wall","Reverse Cycle"
"12241","TECO","TWW22HFBGJBB","China",0.66,2.06908186476,2,0.31,"Non Ducted","Window Wall","Reverse Cycle"
"12242","PROMA","PRO-32IT","China",0.84,3.01208733097,3,0.03,"Non Ducted","Single Split System","Reverse Cycle"
"12246","DAIKIN","FDYQN100L / RQ100L","Australia,Thailand",3.31,1.9648321993,1.5,1,"Ducted","Single Split System","Reverse Cycle"
"12247","DAIKIN","FTKS35L / RKS35L","Thailand,Thailand",0.91,3.28013958422,3,0.66,"Non Ducted","Single Split System","Cooling Only"
"12253","GREE","GWH24ME-K3DNA3A","China",2.14,1.98320518009,1.5,1.6,"Non Ducted","Single Split System","Reverse Cycle"
