Appliance,Brand,Model.No,Country,CEC_,New.SRI,New.Star,Tot.Wat.Cons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value
Clothes Washer,ARISTON,AVXL129,Italy,280,3.919,3.5,71.2,7.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,WHITE QUEEN,LM60,Italy,454,1.59,1.5,68,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,DAEWOO,NW-81R,"""Korea, Republic of""",702,1.85,1.5,246,8,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,DAEWOO,NW-892,"""Korea, Republic of""",702,1.85,1.5,246,8,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,ELECTROLUX,EWF1087,Thailand,378,3.22,3,52,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,BOSCH,WFB3200AU,China,142,4.28,4,86,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,SAMSUNG,J1255,China,331,3.6281,3.5,55.6,7.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,HOOVER,700LE,Australia,696,1.59,1.5,189,7,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,AEG,W1255,Germany,179,4.44,4,64.23,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,AEG,W1250,Germany,179,4.44,4,64.23,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,SAMSUNG,J843,China,289,3.5695,3.5,51.4,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,SAMSUNG,B1245,China,193,4.1593,4,48.2,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,SAMSUNG,B1445AV,China,192,4.2977,4,47.1,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,SAMSUNG,B1245AV,China,193,4.1593,4,48.2,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,LG,WT-H555TH,Thailand,573,1.44,1,62.3,5.5,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,HITACHI,SF-H800PX,Japan,917,1.33,1,189,8,Type,Non-Drum,Loading,Top,Machine Action,Impeller
